# Casos de prueba del proyecto (§3.3): 12 instrucciones × 3 escenarios = 36
# Formato: <instruccion> ; <escenario>
# Escenarios: tipico | positivo | negativo | limite
# (En formato R no hay inmediato: tipico / registros_altos / limite_x0)
# Líneas con '#' son comentarios.
#
# Referencia de encoding: se obtiene del toolchain (objdump), no de este archivo.
# Uso: ./validate.sh

# ========== R: add ==========
add x5, x6, x7 ; tipico
add x14, x26, x31 ; registros_altos
add x28, x15, x0 ; limite_x0

# ========== R: sub ==========
sub x5, x7, x18 ; tipico
sub x31, x20, x13 ; registros_altos
sub x6, x28, x0 ; limite_x0

# ========== R: and ==========
and x10, x11, x12 ; tipico
and x25, x16, x22 ; registros_altos
and x0, x5, x18 ; limite_x0

# ========== R: or ==========
or x18, x29, x9 ; tipico
or x19, x1, x23 ; tipico
or x23, x0, x27 ; limite_x0

# ========== I: addi ==========
addi x5, x25, 100 ; positivo
addi x7, x27, -12 ; negativo
addi x10, x1, 2047 ; limite_max_imm

# ========== I: andi ==========
andi x8, x3, 255 ; positivo
andi x30, x1, -209 ; negativo
andi x27, x30, -2048 ; limite_min_imm

# ========== I: lw ==========
lw x29, 8(x30) ; positivo
lw x30, -1049(x14) ; negativo
lw x5, 0(x0) ; limite_offset_cero_x0

# ========== I: lb ==========
lb x2, 1705(x9) ; positivo
lb x25, -389(x27) ; negativo
lb x18, -2048(x17) ; limite_min_imm

# ========== S: sw ==========
sw x16, 100(x31) ; positivo
sw x31, -411(x23) ; negativo
sw x8, 0(x2) ; limite_offset_cero

# ========== S: sb ==========
sb x6, 72(x28) ; positivo
sb x18, -100(x20) ; negativo
sb x28, 2047(x11) ; limite_max_imm

# ========== B: beq ==========
beq x31, x23, 16 ; positivo
beq x30, x4, -80 ; negativo
beq x1, x2, 0 ; limite_offset_cero

# ========== B: bne ==========
bne x12, x15, 16 ; positivo
bne x17, x22, -16 ; negativo
bne x5, x0, 60 ; limite_x0
